Date,Area A,Area B,Area C,
04/09/2011,3.90005303030303,3.90005303030303,,
05/09/2011,,,,
06/09/2011,,,,
07/09/2011,,,,
08/09/2011,,,,
09/09/2011,,,,
10/09/2011,,,,
11/09/2011,7.60678787878788,7.60678787878788,,
12/09/2011,,,,
13/09/2011,,,,
14/09/2011,,,,
15/09/2011,,,,
16/09/2011,,,,
17/09/2011,,,,
18/09/2011,16.1737253787879,16.1737253787879,,
19/09/2011,,,,
20/09/2011,,,,
21/09/2011,,,,
22/09/2011,,,,
23/09/2011,,,,
24/09/2011,,,,
25/09/2011,17.7622196969697,17.7622196969697,,
26/09/2011,,,,
27/09/2011,,,,
28/09/2011,,,,
29/09/2011,,,,
30/09/2011,,,,
01/10/2011,,,,
02/10/2011,19.2222727272727,19.2222727272727,,
03/10/2011,,,,
04/10/2011,,,,
05/10/2011,,,,
06/10/2011,,,,
07/10/2011,,,,
08/10/2011,,,,
09/10/2011,24.6908825757576,24.6908825757576,,
10/10/2011,,,,
11/10/2011,,,,
12/10/2011,,,,
13/10/2011,,,,
14/10/2011,,,,
15/10/2011,,,,
16/10/2011,17.3537196969697,17.3537196969697,,
17/10/2011,,,,
18/10/2011,,,,
19/10/2011,,,,
20/10/2011,,,,
21/10/2011,,,,
22/10/2011,,,,
23/10/2011,21.8021287878788,21.8021287878788,,
24/10/2011,,,,
25/10/2011,,,,
26/10/2011,,,,
27/10/2011,,,,
28/10/2011,,,,
29/10/2011,,,,
30/10/2011,31.3222803030303,31.3222803030303,,
31/10/2011,,,,
01/11/2011,,,,
02/11/2011,,,,
03/11/2011,,,,
04/11/2011,,,,
05/11/2011,,,,
06/11/2011,30.3992878787879,30.3992878787879,,
07/11/2011,,,,
08/11/2011,,,,
09/11/2011,,,,
10/11/2011,,,,
11/11/2011,,,,
12/11/2011,,,,
13/11/2011,16.6705757575758,16.6705757575758,,
14/11/2011,,,,
15/11/2011,,,,
16/11/2011,,,,
17/11/2011,,,,
18/11/2011,,,,
19/11/2011,,,,
20/11/2011,15.9514829545455,15.9514829545455,,
21/11/2011,,,,
22/11/2011,,,,
23/11/2011,,,,
24/11/2011,,,,
25/11/2011,,,,
26/11/2011,,,,
27/11/2011,17.3858446969697,17.3858446969697,,
28/11/2011,,,,
29/11/2011,,,,
30/11/2011,,,,
01/12/2011,,,,
02/12/2011,,,,
03/12/2011,,,,
04/12/2011,17.9265151515152,17.9265151515152,,
05/12/2011,,,,
06/12/2011,,,,
07/12/2011,,,,
08/12/2011,,,,
09/12/2011,,,,
10/12/2011,,,,
11/12/2011,25.4204166666667,25.4204166666667,,
12/12/2011,,,,
13/12/2011,,,,
14/12/2011,,,,
15/12/2011,,,,
16/12/2011,,,,
17/12/2011,,,,
18/12/2011,29.4023446969697,29.4023446969697,,
19/12/2011,,,,
20/12/2011,,,,
21/12/2011,,,,
22/12/2011,,,,
23/12/2011,,,,
24/12/2011,,,,
25/12/2011,33.8635909090909,33.8635909090909,,
26/12/2011,,,,
27/12/2011,,,,
28/12/2011,,,,
29/12/2011,,,,
30/12/2011,,,,
31/12/2011,,,,
01/01/2012,29.4923484848485,29.4923484848485,,
02/01/2012,,,,
03/01/2012,,,,
04/01/2012,,,,
05/01/2012,,,,
06/01/2012,,,,
07/01/2012,,,,
08/01/2012,20.5325378787879,20.5325378787879,,
09/01/2012,,,,
10/01/2012,,,,
11/01/2012,,,,
12/01/2012,,,,
13/01/2012,,,,
14/01/2012,,,,
15/01/2012,33.1540303030303,33.1540303030303,,
16/01/2012,,,,
17/01/2012,,,,
18/01/2012,,,,
19/01/2012,,,,
20/01/2012,,,,
21/01/2012,,,,
22/01/2012,45.1085151515152,45.1085151515152,,
23/01/2012,,,,
24/01/2012,,,,
25/01/2012,,,,
26/01/2012,,,,
27/01/2012,,,,
28/01/2012,,,,
29/01/2012,44.2190151515152,44.2190151515152,,
30/01/2012,,,,
31/01/2012,,,,
01/02/2012,,,,
02/02/2012,,,,
03/02/2012,,,,
04/02/2012,,,,
05/02/2012,38.7646363636364,38.7646363636364,,
06/02/2012,,,,
07/02/2012,,,,
08/02/2012,,,,
09/02/2012,,,,
10/02/2012,,,,
11/02/2012,,,,
12/02/2012,42.9026666666667,42.9026666666667,,
13/02/2012,,,,
14/02/2012,,,,
15/02/2012,,,,
16/02/2012,,,,
17/02/2012,,,,
18/02/2012,,,,
19/02/2012,75.3381515151515,,,
20/02/2012,,,,
21/02/2012,,,,
22/02/2012,,,,
23/02/2012,,,,
24/02/2012,,,,
25/02/2012,,,,
26/02/2012,91.6246060606061,,,
27/02/2012,,,,
28/02/2012,,,,
29/02/2012,,,,
01/03/2012,,,,
02/03/2012,,,,
03/03/2012,,,,
04/03/2012,102.264666666667,,,
05/03/2012,,,,
06/03/2012,,,,
07/03/2012,,,,
08/03/2012,,,,
09/03/2012,,,,
10/03/2012,,,,
11/03/2012,105.45452020202,,,
12/03/2012,,,,
13/03/2012,,,,
14/03/2012,,,,
15/03/2012,,,,
16/03/2012,,,,
17/03/2012,,,,
18/03/2012,98.6144949494949,,,
19/03/2012,,,,
20/03/2012,,,,
21/03/2012,,,,
22/03/2012,,,,
23/03/2012,,,,
24/03/2012,,,,
25/03/2012,47.2101616161616,,,
26/03/2012,,,,
27/03/2012,,,,
28/03/2012,,,,
29/03/2012,,,,
30/03/2012,,,,
31/03/2012,,,,
01/04/2012,64.6537676767677,,,
02/04/2012,,,,
03/04/2012,,,,
04/04/2012,,,,
05/04/2012,,,,
06/04/2012,,,,
07/04/2012,,,,
08/04/2012,83.8370303030303,,,
09/04/2012,,,,
10/04/2012,,,,
11/04/2012,,,,
12/04/2012,,,,
13/04/2012,,,,
14/04/2012,,,,
15/04/2012,63.4747272727273,,,
16/04/2012,,,,
17/04/2012,,,,
18/04/2012,,,,
19/04/2012,,,,
20/04/2012,,,,
21/04/2012,,,,
22/04/2012,74.0745252525253,,,
23/04/2012,,,,
24/04/2012,,,,
25/04/2012,,,,
26/04/2012,,,,
27/04/2012,,,,
28/04/2012,,,,
29/04/2012,70.8948585858586,,,
30/04/2012,,,,
01/05/2012,,,,
02/05/2012,,,,
03/05/2012,,,,
04/05/2012,,,,
05/05/2012,,,,
06/05/2012,73.2582222222222,,,
07/05/2012,,,,
08/05/2012,,,,
09/05/2012,,,,
10/05/2012,,,,
11/05/2012,,,,
12/05/2012,,,,
13/05/2012,40.4066565656566,,,
14/05/2012,,,,
15/05/2012,,,,
16/05/2012,,,,
17/05/2012,,,,
18/05/2012,,,,
19/05/2012,,,,
20/05/2012,45.0224343434343,,,
21/05/2012,,,,
22/05/2012,,,,
23/05/2012,,,,
24/05/2012,,,,
25/05/2012,,,,
26/05/2012,,,,
27/05/2012,48.1756262626263,,,
28/05/2012,,,,
29/05/2012,,,,
30/05/2012,,,,
31/05/2012,,,,
01/06/2012,,,,
02/06/2012,,,,
03/06/2012,47.1251818181818,,,
04/06/2012,,,,
05/06/2012,,,,
06/06/2012,,,,
07/06/2012,,,,
08/06/2012,,,,
09/06/2012,,,,
10/06/2012,52.1062727272727,,,
11/06/2012,,,,
12/06/2012,,,,
13/06/2012,,,,
14/06/2012,,,,
15/06/2012,,,,
16/06/2012,,,,
17/06/2012,60.8998686868687,,,
18/06/2012,,,,
19/06/2012,,,,
20/06/2012,,,,
21/06/2012,,,,
22/06/2012,,,,
23/06/2012,,,,
24/06/2012,43.4684848484848,,,
25/06/2012,,,,
26/06/2012,,,,
27/06/2012,,,,
28/06/2012,,,,
29/06/2012,,,,
30/06/2012,,,,
01/07/2012,29.0090505050505,,,
02/07/2012,,,,
03/07/2012,,,,
04/07/2012,,,,
05/07/2012,,,,
06/07/2012,,,,
07/07/2012,,,,
08/07/2012,48.0258080808081,,,
09/07/2012,,,,
10/07/2012,,,,
11/07/2012,,,,
12/07/2012,,,,
13/07/2012,,,,
14/07/2012,,,,
15/07/2012,6.17206349206349,3.75138019047619,1.50351596946649,
16/07/2012,,,,
17/07/2012,,,,
18/07/2012,,,,
19/07/2012,,,,
20/07/2012,,,,
21/07/2012,,,,
22/07/2012,5.26791261451726,5.26791261451726,9.57365659991387,
23/07/2012,,,,
24/07/2012,,,,
25/07/2012,,,,
26/07/2012,,,,
27/07/2012,,,,
28/07/2012,,,,
29/07/2012,5.4050101010101,5.4050101010101,5.15181520061728,
30/07/2012,,,,
31/07/2012,,,,
01/08/2012,,,,
02/08/2012,,,,
03/08/2012,,,,
04/08/2012,,,,
05/08/2012,2.56016161616162,2.56016161616162,1.1764631558642,
06/08/2012,,,,
07/08/2012,,,,
08/08/2012,,,,
09/08/2012,,,,
10/08/2012,,,,
11/08/2012,,,,
12/08/2012,4.89504437504819,4.89504437504819,9.22762507289016,
13/08/2012,,,,
14/08/2012,,,,
15/08/2012,,,,
16/08/2012,,,,
17/08/2012,,,,
18/08/2012,,,,
19/08/2012,5.34542424242424,5.34542424242424,3.81256944444444,
20/08/2012,,,,
21/08/2012,,,,
22/08/2012,,,,
23/08/2012,,,,
24/08/2012,,,,
25/08/2012,,,,
26/08/2012,7.70290199462984,7.70290199462984,12.253962893372,
27/08/2012,,,,
28/08/2012,,,,
29/08/2012,,,,
30/08/2012,,,,
31/08/2012,,,,
01/09/2012,,,,
02/09/2012,8.62337373737374,8.62337373737374,14.6649797453704,
03/09/2012,,,,
04/09/2012,,,,
05/09/2012,,,,
06/09/2012,,,,
07/09/2012,,,,
08/09/2012,,,,
09/09/2012,7.73339613422088,7.73339613422088,14.9935080148857,
10/09/2012,,,,
11/09/2012,,,,
12/09/2012,,,,
13/09/2012,,,,
14/09/2012,,,,
15/09/2012,,,,
16/09/2012,6.6718668261563,6.6718668261563,4.12007381010396,
17/09/2012,,,,
18/09/2012,,,,
19/09/2012,,,,
20/09/2012,,,,
21/09/2012,,,,
22/09/2012,,,,
23/09/2012,8.03473935228574,8.03473935228574,12.9476440445224,
24/09/2012,,,,
25/09/2012,,,,
26/09/2012,,,,
27/09/2012,,,,
28/09/2012,,,,
29/09/2012,,,,
30/09/2012,8.00361404958678,8.00361404958678,6.25598697916667,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
